homeTeam,awayTeam,matchDateUtc,stadiumName,status
"Lazio","Cremonese","2025-12-20T17:00:00Z","Olimpico","UPCOMING"
"Juventus","Roma","2025-12-20T19:45:00Z","Allianz Stadium","UPCOMING"
"Cagliari","Pisa","2025-12-21T11:30:00Z","Unipol Domus","UPCOMING"
"Sassuolo","Torino","2025-12-21T14:00:00Z","Mapei Stadium","UPCOMING"
"Fiorentina","Udinese","2025-12-21T17:00:00Z","Artemio Franchi","UPCOMING"
"Genoa","Atalanta","2025-12-21T19:45:00Z","Luigi Ferraris","UPCOMING"
"Parma","Fiorentina","2025-12-27T11:30:00Z","Ennio Tardini","UPCOMING"
"Lecce","Como","2025-12-27T14:00:00Z","Ettore Giardiniero - Via Del Mare","UPCOMING"
"Torino","Cagliari","2025-12-27T14:00:00Z","Olimpico - Grande Torino","UPCOMING"
"Udinese","Lazio","2025-12-27T17:00:00Z","Friuli/Bluenergy stadium","UPCOMING"
"Pisa","Juventus","2025-12-27T19:45:00Z","Cetilar Arena","UPCOMING"
"Milan","Hellas Verona","2025-12-28T11:30:00Z","Giuseppe Meazza","UPCOMING"
"Cremonese","Napoli","2025-12-28T14:00:00Z","Giovanni Zini","UPCOMING"
"Bologna","Sassuolo","2025-12-28T17:00:00Z","Renato Dall'Ara","UPCOMING"
"Atalanta","Inter","2025-12-28T19:45:00Z","New Balance Arena","UPCOMING"
"Roma","Genoa","2025-12-29T19:45:00Z","Olimpico","UPCOMING"
"Cagliari","Milan","2026-01-02T19:45:00Z","Unipol Domus","UPCOMING"
"Como","Udinese","2026-01-03T11:30:00Z","Giuseppe Sinigaglia","UPCOMING"
"Genoa","Pisa","2026-01-03T14:00:00Z","Luigi Ferraris","UPCOMING"
"Sassuolo","Parma","2026-01-03T14:00:00Z","Mapei Stadium","UPCOMING"
"Juventus","Lecce","2026-01-03T17:00:00Z","Allianz Stadium","UPCOMING"
"Atalanta","Roma","2026-01-03T19:45:00Z","New Balance Arena","UPCOMING"
"Lazio","Napoli","2026-01-04T11:30:00Z","Olimpico","UPCOMING"
"Fiorentina","Cremonese","2026-01-04T14:00:00Z","Artemio Franchi","UPCOMING"
"Hellas Verona","Torino","2026-01-04T17:00:00Z","Marcantonio Bentegodi","UPCOMING"
"Inter","Bologna","2026-01-04T19:45:00Z","Giuseppe Meazza","UPCOMING"
